status,ticker,price,timestamp,position_type
open,META,177.5203,2023-03-13 09:47:00-04:00,short
close,META,178.92,2023-03-13 09:45:00-04:00,short
open,ZION,35.09,2023-03-14 09:36:00-04:00,short
close,ZION,30.21,2023-03-14 15:55:00-04:00,short
open,META,189.95,2023-03-14 09:36:00-04:00,long
close,META,193.6578,2023-03-14 15:55:00-04:00,long
open,FITB,27.93,2023-03-14 09:36:00-04:00,short
close,FITB,26.14,2023-03-14 15:55:00-04:00,short
open,NFLX,295.025,2023-03-14 09:40:00-04:00,long
close,NFLX,292.68,2023-03-14 09:45:00-04:00,long
open,TSLA,179.58,2023-03-14 09:51:00-04:00,long
close,TSLA,182.66,2023-03-14 15:55:00-04:00,long
open,MS,91.285,2023-03-14 09:42:00-04:00,short
close,MS,89.745,2023-03-14 15:55:00-04:00,short
open,MSFT,261.12,2023-03-15 09:37:00-04:00,long
close,MSFT,264.32,2023-03-15 15:55:00-04:00,long
open,JPM,130.0,2023-03-15 09:38:00-04:00,short
close,JPM,127.68,2023-03-15 15:55:00-04:00,short
open,BA,201.1722,2023-03-15 09:36:00-04:00,short
close,BA,197.54,2023-03-15 15:55:00-04:00,short
open,CRM,181.675,2023-03-15 09:56:00-04:00,long
close,CRM,180.23,2023-03-15 10:30:00-04:00,long
open,META,193.2726,2023-03-15 09:36:00-04:00,long
close,META,191.7201,2023-03-15 10:30:00-04:00,long
open,ABNB,113.32,2023-03-15 09:41:00-04:00,short
close,ABNB,113.02,2023-03-15 15:55:00-04:00,short
open,MSFT,265.11,2023-03-16 09:39:00-04:00,short
close,MSFT,267.45,2023-03-16 11:15:00-04:00,short
open,NFLX,304.462,2023-03-16 09:40:00-04:00,short
close,NFLX,307.885,2023-03-16 10:45:00-04:00,short
open,CVX,150.965,2023-03-16 09:36:00-04:00,long
close,CVX,154.03,2023-03-16 15:55:00-04:00,long
open,META,200.621,2023-03-17 09:39:00-04:00,short
close,META,195.68,2023-03-17 15:55:00-04:00,short
open,WAL,33.05,2023-03-17 09:40:00-04:00,short
close,WAL,34.25,2023-03-17 09:40:00-04:00,short
open,PDD,75.9,2023-03-20 09:37:00-04:00,short
close,PDD,77.45,2023-03-20 09:35:00-04:00,short
open,META,202.715,2023-03-21 15:49:00-04:00,short
close,META,202.59,2023-03-21 15:55:00-04:00,short
open,BA,201.17,2023-03-22 14:05:00-04:00,short
close,BA,196.56,2023-03-22 15:55:00-04:00,short
open,SQ,58.0,2023-03-23 09:36:00-04:00,short
close,SQ,58.47,2023-03-23 09:40:00-04:00,short
open,MSFT,277.75,2023-03-23 10:15:00-04:00,short
close,MSFT,280.0184,2023-03-23 10:45:00-04:00,short
open,SNOW,137.44,2023-03-23 09:38:00-04:00,short
close,SNOW,138.67,2023-03-23 10:45:00-04:00,short
open,AMD,99.89,2023-03-23 09:36:00-04:00,short
close,AMD,101.095,2023-03-23 09:55:00-04:00,short
open,NFLX,327.01,2023-03-24 09:39:00-04:00,long
close,NFLX,327.2715,2023-03-24 15:55:00-04:00,long
open,META,206.36,2023-03-24 09:36:00-04:00,long
close,META,204.698,2023-03-24 11:10:00-04:00,long
open,TSLA,195.745,2023-03-27 09:56:00-04:00,long
close,TSLA,193.75,2023-03-27 10:40:00-04:00,long
open,META,199.31,2023-03-28 09:43:00-04:00,short
close,META,200.738,2023-03-28 15:55:00-04:00,short
open,BABA,102.3452,2023-03-30 09:38:00-04:00,long
close,BABA,103.295,2023-03-30 15:55:00-04:00,long
open,CRM,196.53,2023-03-30 09:46:00-04:00,short
close,CRM,196.75,2023-03-30 15:55:00-04:00,short
open,NFLX,339.4399,2023-03-31 09:38:00-04:00,short
close,NFLX,342.28,2023-03-31 12:25:00-04:00,short
open,COP,107.01,2023-04-03 11:01:00-04:00,long
close,COP,108.56,2023-04-03 15:55:00-04:00,long
open,BA,212.8301,2023-04-04 09:39:00-04:00,long
close,BA,210.929,2023-04-04 10:15:00-04:00,long
open,SNOW,153.66,2023-04-05 09:42:00-04:00,short
close,SNOW,146.16,2023-04-05 15:55:00-04:00,short
open,TSLA,181.08,2023-04-06 09:37:00-04:00,short
close,TSLA,182.65,2023-04-06 10:00:00-04:00,short
open,NFLX,337.2,2023-04-06 10:14:00-04:00,short
close,NFLX,339.875,2023-04-06 14:30:00-04:00,short
open,SNOW,142.17,2023-04-06 09:38:00-04:00,short
close,SNOW,143.7453,2023-04-06 10:05:00-04:00,short
open,BA,200.885,2023-04-14 09:36:00-04:00,short
close,BA,202.4,2023-04-14 12:25:00-04:00,short
open,RBLX,40.6894,2023-04-17 09:36:00-04:00,long
close,RBLX,40.12,2023-04-17 09:40:00-04:00,long
open,MSFT,290.46,2023-04-18 09:48:00-04:00,short
close,MSFT,288.42,2023-04-18 15:55:00-04:00,short
open,ABT,109.5444,2023-04-19 09:54:00-04:00,short
close,ABT,110.52,2023-04-19 10:10:00-04:00,short
open,TSLA,179.41,2023-04-19 09:38:00-04:00,long
close,TSLA,180.27,2023-04-19 15:55:00-04:00,long
open,NFLX,319.2225,2023-04-20 09:36:00-04:00,long
close,NFLX,325.34,2023-04-20 15:55:00-04:00,long
open,PG,156.46,2023-04-21 09:56:00-04:00,long
close,PG,156.245,2023-04-21 15:55:00-04:00,long
open,TSLA,162.7,2023-04-21 09:49:00-04:00,short
close,TSLA,164.13,2023-04-21 10:10:00-04:00,short
open,SNOW,137.8332,2023-04-25 09:36:00-04:00,short
close,SNOW,135.7,2023-04-25 15:55:00-04:00,short
open,META,210.53,2023-04-25 09:38:00-04:00,short
close,META,207.27,2023-04-25 15:55:00-04:00,short
open,MSFT,295.67,2023-04-26 09:37:00-04:00,short
close,MSFT,298.658,2023-04-26 11:55:00-04:00,short
open,COIN,57.642,2023-04-26 09:58:00-04:00,short
close,COIN,58.075,2023-04-26 10:05:00-04:00,short
open,NFLX,323.1989,2023-04-26 09:41:00-04:00,long
close,NFLX,321.65,2023-04-26 15:55:00-04:00,long
open,NFLX,322.2,2023-04-27 09:38:00-04:00,short
close,NFLX,325.04,2023-04-27 11:35:00-04:00,short
open,ENPH,158.5399,2023-04-28 09:36:00-04:00,short
close,ENPH,160.185,2023-04-28 10:15:00-04:00,short
open,TSLA,158.835,2023-04-28 09:57:00-04:00,short
close,TSLA,160.74,2023-04-28 10:05:00-04:00,short
open,FHN,9.35,2023-05-04 09:37:00-04:00,long
close,FHN,9.07,2023-05-04 09:40:00-04:00,long
open,DDOG,73.05,2023-05-04 09:41:00-04:00,long
close,DDOG,75.445,2023-05-04 15:55:00-04:00,long
open,CMA,35.74,2023-05-05 09:44:00-04:00,short
