ticker,position_type,entry_time,exit_time,entry_price,exit_price,capital_allocated,shares_traded,profit/loss,% of profit/loss,updated_capital
PDD,long,2024-04-23 09:36:00-04:00,2024-04-23 09:40:00-04:00,128.515,127.33,33852.515534588354,263.41295206464895,-313.9882388610584,-0.9275181885382937,168674.35250612663
GEV,long,2024-04-23 09:36:00-04:00,2024-04-23 15:55:00-04:00,140.57,148.03,33852.515534588354,240.8231879817056,1794.8552200276538,5.301984776268057,170469.20772615427
SMCI,short,2024-04-23 09:36:00-04:00,2024-04-23 09:35:00-04:00,72.316,72.899,33852.515534588354,468.1193032605281,-276.1903889237108,-0.8158637092759533,170193.01733723056
GE,short,2024-04-23 09:37:00-04:00,2024-04-23 09:35:00-04:00,155.0181,156.41,33852.515534588354,218.37782513518326,-305.48873958160624,-0.9024107507445857,169887.52859764895
DELL,short,2024-04-24 09:36:00-04:00,2024-04-24 15:55:00-04:00,123.9,119.795,84943.76429882448,685.5832469638779,2809.520146057974,3.307506053268768,172697.04874370692
GL,long,2024-04-24 09:36:00-04:00,2024-04-24 15:55:00-04:00,78.24,79.12,84943.76429882448,1085.6820590340553,947.8004375367408,1.1157975460122824,173644.84918124366
BA,short,2024-04-25 12:40:00-04:00,2024-04-25 13:50:00-04:00,163.58,165.04,173644.84918124366,1061.5286048492703,-1557.2624633138578,-0.8968089008436113,172087.5867179298
WDC,short,2024-04-26 10:09:00-04:00,2024-04-26 11:00:00-04:00,69.53,70.07,43021.89667948245,618.7530084781023,-338.457895637517,-0.7867107723284799,171749.1288222923
VRT,long,2024-04-26 09:36:00-04:00,2024-04-26 15:55:00-04:00,92.93,93.32,43021.89667948245,462.9494961743511,177.30965703477014,0.41213816851392043,171926.43847932707
MSTR,short,2024-04-26 09:38:00-04:00,2024-04-26 09:40:00-04:00,121.836,123.141,43021.89667948245,353.1131740986445,-463.284484417424,-1.0768574148855894,171463.15399490966
ARM,short,2024-04-26 09:36:00-04:00,2024-04-26 10:10:00-04:00,99.82,100.6899,43021.89667948245,430.9947573580691,-377.9393027272913,-0.878481266279304,171085.21469218237
AAPL,long,2024-04-29 11:16:00-04:00,2024-04-29 15:55:00-04:00,174.26,173.27,171085.21469218237,981.7813307252518,-978.835986733057,-0.5721335934809944,170106.37870544932
GL,long,2024-04-30 09:36:00-04:00,2024-04-30 15:55:00-04:00,75.35,76.39,85053.18935272466,1128.7749084634993,1166.0244804428019,1.3709356337093648,171272.40318589212
SMCI,long,2024-04-30 09:36:00-04:00,2024-04-30 12:25:00-04:00,88.19,87.493,85053.18935272466,964.4312206908342,-678.9595793663499,-0.7982764485769394,170593.44360652578
AMD,short,2024-05-01 09:36:00-04:00,2024-05-01 15:55:00-04:00,148.11,143.945,56864.48120217526,383.93411114830366,1596.3980341546546,2.807372898521383,172189.84164068042
COIN,long,2024-05-01 09:37:00-04:00,2024-05-01 11:15:00-04:00,201.945,200.14,56864.48120217526,281.5840015953614,-510.2302108907968,-0.8972740102503192,171679.61142978963
